Speed : 72.00 ; Acc 100.00
Speed : 70.91 ; Acc 98.46
Speed : 75.00 ; Acc 100.00
Speed : 117.60 ; Acc 97.96
Speed : 77.33 ; Acc 91.38
Speed : 84.00 ; Acc 89.29
Speed : 73.20 ; Acc 95.08
Speed : 60.00 ; Acc 100.00
Speed : 60.00 ; Acc 97.78
Speed : 75.43 ; Acc 100.00
Speed : 17.00 ; Acc 91.18
Speed : 15.00 ; Acc 7.50
Speed : 16.80 ; Acc 37.14
Speed : 45.00 ; Acc 91.67
Speed : 30.00 ; Acc 86.67
Speed : 48.00 ; Acc 93.75
Speed : 46.29 ; Acc 92.59
Speed : 63.00 ; Acc 97.62
Speed : 62.00 ; Acc 96.77
Speed : 60.00 ; Acc 96.00
Speed : 70.80 ; Acc 98.31
Speed : 67.50 ; Acc 97.78
Speed : 57.00 ; Acc 97.37
Speed : 60.00 ; Acc 96.67
Speed : 53.45 ; Acc 95.92
Speed : 49.26 ; Acc 96.15
Speed : 61.85 ; Acc 98.51
Speed : 55.06 ; Acc 96.15
Speed : 32.73 ; Acc 100.00
Speed : 51.43 ; Acc 93.33
Speed : 80.00 ; Acc 100.00
Speed : 53.25 ; Acc 97.18
Speed : 21.18 ; Acc 96.67
Speed : 66.55 ; Acc 98.36
Speed : 45.00 ; Acc 90.00
Speed : 45.00 ; Acc 100.00
Speed : 51.43 ; Acc 100.00
Speed : 72.00 ; Acc 100.00
Speed : 60.00 ; Acc 83.33
Speed : 72.00 ; Acc 83.33
Speed : 60.00 ; Acc 100.00
Speed : 51.43 ; Acc 73.33
Speed : 51.43 ; Acc 86.67
Speed : 60.00 ; Acc 76.67
Speed : 64.80 ; Acc 96.30
